全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,所在地_全国地方公共団体コード,町字ID,所在地,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,郵便番号,法人番号,団体名,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,利用可能日時特記事項,小児対応設備の有無,URL
382027,77,愛媛県今治市,立花カルチャーセンター,タチバナカルチャーセンター,382027,87002,愛媛県今治市郷六ヶ内町二丁目2-7,愛媛県,今治市,郷六ヶ内町二丁目,2-7,,34.04567,132.99801,階数,1,1階ホール,,,7940825,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357028
382027,78,愛媛県今治市,近見公民館,チカミコウミンカン,382027,187001,愛媛県今治市湊町一丁目1-39,愛媛県,今治市,湊町一丁目,1-39,,34.08606,132.98962,,,玄関ホール,,,7940003,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357027
382027,79,愛媛県今治市,別宮公民館,ベックコウミンカン,382027,106004,愛媛県今治市大正町四丁目2-7,愛媛県,今治市,大正町四丁目,2-7,,34.07128,132.99614,階数,1,1階玄関(屋内),,,7940025,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357026
382027,80,愛媛県今治市,日吉公民館,ヒヨシコウミンカン,382027,100004,愛媛県今治市末広町四丁目6-2,愛媛県,今治市,末広町四丁目,6-2,,34.05928,133.00595,階数,1,1階ホール,,,7940038,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357025
382027,81,愛媛県今治市,美須賀コミュニティプラザ,ミスカコミュニティプラザ,382027,201001,愛媛県今治市室屋町一丁目2-5,愛媛県,今治市,室屋町一丁目,2-5,,34.06795,133.00186,階数,1,1階正面玄関(屋外),,,7940022,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357024
382027,82,愛媛県今治市,今治公民館,イマバリコウミンカン,382027,71003,愛媛県今治市北宝来町三丁目2-9,愛媛県,今治市,北宝来町三丁目,2-9,,34.06692,132.99341,階数,1,1階ホール受付横,,,7940028,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357023
382027,83,愛媛県今治市,旧亀岡学習センター,キュウカメオカガクシュウセンター,382027,59000,愛媛県今治市菊間町佐方2136,愛媛県,今治市,菊間町佐方,2136,,34.0538,132.87471,,,正面玄関右側柱,,,7992301,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357022
382027,84,愛媛県今治市,関前開発総合センター,セキゼンカイハツソウゴウセンター,382027,102000,愛媛県今治市関前岡村2-5,愛媛県,今治市,関前岡村,2-5,,34.18422,132.88595,,,事務所窓口右横,,,7941101,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357021
382027,85,愛媛県今治市,吉海学習交流館,ヨシウミガクシュウコウリュウカン,382027,221000,愛媛県今治市吉海町八幡137,愛媛県,今治市,吉海町八幡,137,,34.14572,133.04281,,,玄関ロビー,,,7942110,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357020
382027,86,愛媛県今治市,吉海B&G海洋センター,ヨシウミB&Gカイヨウセンター,382027,216000,愛媛県今治市吉海町福田1290,愛媛県,今治市,吉海町福田,1290,,34.155284,133.04185,,,艇庫 体育館事務所,,,7942103,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357019
